,english_premise,english_hypothesis,english_label
1862,"The pope, suggesting that Gen.",Gen is being suggested by the Pope. ,0
1863,"The results of the sheepshead minnow, Cyprinodon variegatus, inland silverside, Menidia beryllina, or mysid, Mysidopsis bahia, tests are acceptable if survival in the controls is 80 percent or greater.",Tests are only acceptable when survival rates during controls come to at least 70 percent.,2
1864,Blair has just published a volume of speeches and articles titled New Britain : My,Blair has never published anything before.,2
1865,Several of the organizations had professional and administrative staffs that provided analytical capabilities and facilitated their members' participation in the organization's activities.,Many organizations facilitated members' participation in their activities.,0
1866,"It is at the moment of maximum audience susceptibility that we hear, for the first time, that the woman was fired not because of her gender but because of her sexual preference.",We heard right then that the woman was actually fired for her sexual preferences.,0
1867,"So is the salt, drying in the huge, square pans at Las Salinas in the south.",Pepper is made wet in Las Salinas.,2
1868,But she's not like her photo one bit.,The girl in the photo has freckles and red hair. ,1
1869,I am so constituted as to be unable to give away money with any satisfaction until I have made the most careful inquiry as to the worthiness of the cause.,"I am happy to donate to any cause, even if I do not know much about them.",2
1870,with little back packs of their own and you know things like that,They have tiny back packs and stuff.,0
1871,"Yet, in the mouths of the white townsfolk of Salisbury, N.C., it sounds convincing.","White people in Salisbury, N.C. don't believe it. ",2
1872,but we're taking our time we're going uh try to make our decision by July,We are thinking of making the decision tomorrow.,2
1873,"New York Times Book Review Editor Charles McGrath, a former deputy to William Shawn at the New Yorker , calls Lillian Ross' memoir about her affair with Shawn on occasion factually inaccurate or misleading and a betrayal of Shawn's high editorial principles.",McGrath says that Lillian Ross' affair was not portrayed correctly. ,0
1874,uh and i think even Electric Light Orchestra had some some real um influences by classical music and i'm still still my favorite in fact most of my CDs that i got are classical music,Most of my CDs are songs of birds dying in the wild. ,2
1875,eligible individuals and the rules that apply if a state does not substantially enforce the statutory requirements.,There are rules that would apply if a state does not enforce the statutory requirements.,0
1876,"At the end of the Wars of Spanish, Austrian, and Polish Succession, the Austrians had taken over northern Italy from the Spanish.","The Wars of Spanish, Austrian, and Polish Succession resulted in norther Italy being controlled by the Spanish.",2
1877,"The entire economy received a massive jump-start with the outbreak of the Korean War, with Japan ironically becoming the chief local supplier for an army it had battled so furiously just a few years earlier.",Japan became the local supplier for Korea.,0
1878,The sacred is not mysterious to her.,The woman does not know anything sacred.,2
1879,"My body is to me like a crippled rabbit that I don't want to pet, that I forget to feed on time, that I haven't time to play with and get to know, a useless rabbit kept in a cage that it would be cruel to turn loose.",I do not take care of my body and I seem to be ashamed of it.,0
1880,because i don't want to my mother was also a domineering type of personality because she had to take over the things that my dad fell short in,My mother was domineering since she filled in my father's shoes.,0
1881,"You did, didn't you?""","You didn't mean to do that, did you?",1
1882,I did so.,I also did.,0
1883,Pesticide concentrations should not exceed USEPA's Ambient Water Quality chronic criteria values where available.,Locations available include freshwater and saltwater locations.,2
1884,Programs in Michigan and the District of Columbia received one-year grant terms for 2002.,Programs in Michigan receive no grants at all. ,2
1885,and the other thing is the cost it's almost prohibitive to bring it to a dealer,The cost makes it hard to bring it to a dealer.,0
1886,'Go now.',Now go. ,0
1887,He's a bad lot. ,He's a dishonest person,1
1888,They have found a new object of their affection.,A new object has captured their affection.,0
1889,"On the second point, Judge Newton said in a recent interview, I've heard this complaint a hundred times.",Judge Newton had never heard that complaint before.,2
1890,"The levadas were largely built by slave laborers from Africa, whose primary employment was on sugar plantations.",The levadas were built by the slaves.,0
1891,oh my  uh-huh uh-huh,Please stop talking. ,2
1892,i think Buffalo is an up an coming team they're going to they're showing some real promise for the next uh few years,The team had some good results in last seasons.,1
1893,She would be almost certainly sent to you under an assumed one.,The man told the other man that Bill would be sent to him.,2
1894,"Likewise, at their production decision reviews, these programs did not capture manufacturing and product reliability knowledge consistent with best practices.",Their production decision reviews located an anomaly in the data.,0
1895,"During the half-century of its existence, Israel has absorbed approximately 2.5 million Jewish immigrants, displaced persons, refugees, and survivors of the Nazi Holocaust.",Israel took in 2.5 million Jewish people as a result of the Holocaust.,0
1896,Many Gothic and Renaissance buildings have been lovingly restored.,One of the Gothic buildings that has been restored is a church.,1
1897,Something may be better than nothing . If trials compared low-cost therapy to the complete AZT regimen it's likely that the new regimens will prove less effective.,They wanted to prove that even a tiny bit could make a difference.,1
1898,"Paris and its immediate surroundings are a magnet for tourists, students, businessmen, artists, inventors ' in short, everyone except perhaps the farmer and fisherman, who may well come to the city to protest government policies.",Farmers and fishermen are big fans of the government policies and have never thought to protest them.,2
1899,"Just east of the Star Ferry terminal, you'll come to CityHall.",The City Hall was built so close to the terminal to help visitors find City Hall easily.,1
1900,"To make matters worse, many employers looking to save money (and please their employees) will drop dependent benefits if states provide better coverage than the private plans now do.","If states provide better coverage than private plans, many employers will drop dependent benefits to save money.",0
1901,He loved her.,She was loved by him.,0
1902,"It displays some superb marble sculptures of the second century a.d. , most notably a Venus and the Emperor Hadrian and his wife Sabina.",It hosts a sculpture of Venus and one of the Emperor Hadrian.,0
1903,"14 Managing for  Federal Managers' Views Show Need for Ensuring Top Leadership Skills (GAO-01-127, Oct. 20, 2000); Management  Using the Results Act and Quality Management to Improve Federal Performance (GAO/T-GGD-99-151, July 29, 1999); and Management  Elements of Successful Improvement Initiatives (GAO/T- GGD-00-26, Oct. 15, 1999).",Federal Managers have a lot of documents to study.,1
1904,it's so bad wanted to mow today i was off and i wanted to mow the yard but just walking across it it's still so mushy if i took a mower out there i'd tear the sod up so bad,The best time to mow the lawn is when it's wet and mushy. ,2
1905,'I see.',It was clear,1
1906,yeah well i was surprised at the the way they drafted last year they didn't really didn't go for the uh big offensive lineman or the defensive lineman they're going for the skilled positions so quarterbacks they really,I thought they should focus more on big linemen.,1
1907,"OMB issued the guidance in Memorandum M0010, dated April 25, 2000.",Memorandum M0010 was issued in 2000.,0
1908,I said it and I'm glad.,I'm glad I said it. ,0
1909,"No, I exclaimed, astonished. ","""Okay,"" I agreed breezily. ",2
1910,huh do you have your own kiln or do you do you,"You don't have a kiln, do you?",0
1911,There are also dozens of fabulous pictures.,Additionally we have many great pictures.,0
1912,"Alexander the Great, who passed through the city in 334 b.c. , paid for its completion; five of the original 30 columns have been restored to their full height.",Alexander the Great never spent any time in this city.,2
1913,"In keeping with other early Buddhist tenets, there is no figurative representation of Buddha here, However, there is a large gilded statue from a later period inside, and behind the temple are the spreading branches and trunks of the sacred Bodhi Tree, which is said to have grown from a sapling of the first one that stood here 2,500 years ago.",There are several figurative representations of Buddha located there.,2
1914,"In the summer, the Sultan's Pool, a vast outdoor amphitheatre, stages rock concerts or other big-name events.",Most rock concerts take place in the Sultan's Pool amphitheatre.,1
1915,"Punditus Interruptus, The Final ",The Beginning of Punditus Interruptus,2
1916,John Kasich dropped his presidential bid.,John Kasich got cancer and had to drop his bid.,1
1917,yeah um gosh i think it was only like three and a half pounds and for me that's big that's why i'm saying i love to go fishing because i've never caught anything really really big um so because it's always been you know in the on a lake and uh i know they have bigger fish than that but you know three and a half pounds and that was huge for me,It was almost fifty pounds.,2
1918,"Around the year 1400, fighting over the island of Singapore drove the Srivijaya prince Parameswara to seek refuge up the peninsula coast with his orang laut pirate friends in their small fishing village of Melaka.",There was fighting over Singapore because it was so valuable to trade.,1
1919,They post loads of newspaper articles--Yahoo!,Yahoo does not post any articles from newspapers.,2
1920,There are many such at the present time.,There are none at all.,2
1921,"There are actually three winding roads, or the Grande, the high road, starting out from the Avenue des Diables-Bleus in Nice; the Moyenne, the middle one, beginning at Place Max-Barel; and the Basse, along the coast from Boulevard Carnot, but usually jammed with traffic.",The three winding roads leaving Nice closely follow the terrain of the country through which they pass.,1
1922,uh-huh how about any matching programs,Why is there no matching program? ,1
1923,"News berates computer users for picking obvious, easily cracked passwords and chastises system administrators for ignoring basic security precautions.",Users and system administrators both do not prioritize security.,1
1924,His plan was to drive straight up to the house.,He had planned to drive a block away from the house and slowly creep up.,2
1925,"The flame or whatever it was had enough heat, but it was hard to control.","The flame was hard to control, but had enough heat. ",0
1926,"Restored in 1967, the beautiful exterior is complemented by the fine period furniture housed inside.",The beautiful exterior was restored in 1967.,0
1927,He seemed a trifle embarrassed.,What he saw embarrassed him.,1
1928,The association's mission is to reduce the incidence of fraud and white-collar crime through prevention and education.,The association hopes people will not steal someone's identity.,1
1929,This fellow is flying a hot air balloon and suddenly realizes he is lost.,This fellow is flying a hot air balloon with a monkey and 4 giraffes.,1
1930,and uh you know once you start up at the top and try to get those dollars on down to the hands that need them you know there's a lot of places the money stops and disappears along the way,"Once you start distributing the money, some of it vanishes along the way.",0
1931,Any point you failed to win by rigging the questions and categories can be cleaned up in the executive summary (the pollster's spin) and the press release and news conference (the client's spin on the pollster's spin).,Any point you didn't get by fixing the questions can be added to the executive summary.,0
1932,"Here you'll find the finest leather goods and of-the-moment fashions from all the predictable high-priests (Valentino, Armani, Versace, Gucci, Missoni, etc. ). A number of classic men's clothing meccas such as Cucci (with a C), Brioni, and Battistoni are still going strong.",The Gucci and Versace stores have been locked in fierce competition to capture the hearts and minds of our guests.,1
1933,you know like CODA comes out of your out of your pay and the credit union comes out of your pay so we don't have to do anything there and the rest of it as far as my salary goes i just have it automatically deposited in into our bank,What remains of my salary goes into our bank.,0
1934,'It's that kind of world.',The world is getting better.,1
1935,"It has served as a fortress for the Gallo-Romans, the Visigoths, Franks, and medieval French (you can see the layers of their masonry in the ramparts).","Various people have used it as a fortress, as can be seen from the layers of masonry.",0
1936,Opium-smoking continued openly in Hong Kong until 1946; in mainland China the Communist government abolished it when they came to power in 1949.,The Chinese communist government abolished opium smoking due to its health effects.,1
1937,This was the saturation and 125-piece walk sequence Enhanced Carrier Route mail volume in 1996.,The Enhanced Carrier Route was canceled in 1995.,2
1938,(Read Slate 's  on how Bush flaunts the courage of his cliches.,Slate talks about how Bush is ashamed of his cliches.,2
1939,Scotland became little more than an English county.,Scotland was far greater than an English county.,2
1940,It's mighty lucky you did say it.,Its lucky that you said it.,0
1941,yeah well losing is i mean i'm i'm originally from Saint Louis and Saint Louis Cardinals when they were there were uh a mostly a losing team but,The St. Louis Cardinals have always won.,2
1942,I said it and I'm glad.,I'm glad I said what I've been wanting to say for years.,1
1943,It vibrated under his hand.,"It moved softly in his hand, alerting him to the presence.",1
1944,"If the company makes money on the policy, other insurers are expected to follow.",It's assumed other insurers will do the same if the company ends up with a profit from the policy. ,0
1945,Sales of goods and services in undercover operations.,Goods and Services are sold by undercover agents..,0
1946,The following are examples of how teams were used in the agency initiatives we reviewed.,We reviewed how teams were used in the initiatives.,0
1947,This points to a final press-friendly quality of McCain' brilliant flattery.,This does not lead to a final press-friendly quality of McCain' brilliant flattery.,2
1948,yeah it's true it is in in fact i have a friend of mine that moved to North Carolina she's um an emergency room nurse she does the operating room,My friend moved to NC to take a job as a nurse in a trauma unit at a hospital emergency room.,1
1949,"Tom is the winner of a year's supply of Turtle Wax, and he will receive his prize just as soon as the Shopping Avenger figures out how much Turtle Wax actually constitutes a year's supply.",A year's suppy of Turtle Wax is 12 jars.,1
1950,"A newly unified Christian Spain under the Catholic Monarchs, Ferdinand and Isabella, completed the Reconquest, defeating the only Moorish enclave left on the Iberian peninsula, Granada, in 1492.",The last Moorish enclave was defeated in 1492.,0
1951,"The Throne Room is one of a series of apartments built during the reign of Charles II, though it was originally designed as a guard room that screened entrants to the private chambers beyond.",The Throne Room is available for tours daily.,1
1952,But they reached a shrubbery near the house quite unmolested.,They managed to reach a shrubbery close by without issue.,0
1953,"In fact, the Lions of Delos were made from Naxos marble.",The Lions of Delos are composed of Naxos marble.,0
1954,"And if they did come, as remote as that is, you and your men look strong enough to handle anything.",The men were warriors.,1
1955,He knew how the Simulacra was supposed to develop.,He knew how the Sim would be created in the game.,1
1956,How do you propose to get in touch with your would-be employers?,How will you contact your potential employers?,0
1957,you know they can't really defend themselves like somebody grown uh say my age you know yeah,They can defend themselves easily.,2
1958,"In a new retrospective, the Vienna modernist (1890-1918) wins critics' grudging respect.",Critics are reluctant but ultimately they are forced to respect the Vienna Modernist. ,0
1959,"It's an interesting account of the violent history of modern Israel, and ends in the Scafeld Room where nine Jews were executed.",It's a fascinating explanation modern Israel's violent past and at the end is the Scafelf Room where executions took place.,0
1960,"The Romans built roads and established towns, including the towns of Palmaria (Palma) and Pollentia (near present-day Alc??dia).",The Romans established several towns over the course of their history.,0
1961,I am a lacto-vegetarian.,"I can consume lactose, but not meat.",0
1962,excessively violent i was worried it's like golly if kids start imitating that,"It was non-violent, so it would be great for the kids to follow their lead.",2
1963,"It is really a matter of waiting.""",It is all about waiting.,0
1964,"I am glad she wasn't, said Jon.",Jon was glad that she wasn't. ,0
1965,But they reached a shrubbery near the house quite unmolested.,The shrubbery by the house was thick and as green as the grass underneath them.,1
1966,The most popular form of shadow theater is known as Wayang Siam.,Wayang Siam is the most popular form of shadow theater. ,0
1967,"It spoke of thousands of years, even before the times of the old empire.",The old Empire died out.,1
1968,"It doesn't seem expensive--they use it in Bangladesh, after all.",It's probably pretty cheap considering they have it in Bangladesh.,0
1969,"I had rejected it as absurd, nevertheless it persisted. ",It persisted even after I rejected it as an absurdity.,0
1970,All requests to provide live testimony at one of the two public hearings were granted.,Most of the people who requested a live testimony ended up being dissapointed. ,2
1971,"But you might as well see for yourself if you don't believe me. The note, in Tuppence's well-known schoolboy writing, ran as follows: ""DEAR JULIUS, ""It's always better to have things in black and white.","Tuppence didn't have well-known handwriting, it wasn't recognizable as her note.",2
1972,"More reserved and remote but a better administrator and financier than his uncle, Charles Brooke imposed on his men his own austere, efficient style of life.",Charles Brooke's men did not take well to the austerity resulting from his leadership style.,1
1973,Most traditional reform options involve workers paying more for promised benefits or getting lower benefits.,Reform plans floating in committee at this time suggest workers will need to pay more or get less.,1
1974,yeah it's a U S territory and it's just we own it or,"We own the land, but it's not a U.S. territory.",2
1975,Perhaps tax reform doesn't appeal to the new spiritualized side of Bradley.,Bradley is a pastor now.,1
1976,"As previously noted, we published new independence standards dealing with non-audit/consulting services when the AICPA failed to act.",The AICPA fails to act on numerous occasions and will be dealt with swiftly.,1
1977,"That couldn't happen in a sane world, either.",That could definitely happen in a sane world.,2
1978,"Sadly, vandals removed all the tomb's spectacular treasures, but they did leave the gentle beauty of rose and poppies in rich inlaid stones of onyx, green chrysolite, carnelian, and variegated agate.",The treasures were removed by a bunch of vandals.,0
1979,Meet the Press host Tim Russert took his Christmas vacation five days early by letting Rep.,"Tim Russert didn't take a vacation, he continued to work on Meet The Press.",2
1980,Who are these sons of eggs?,I know exactly who these sons of eggs are.,2
1981,"David Cope, a professor of music at the University of California at Santa Cruz, claims to have created a 42 nd Mozart symphony.",Music Professor David Cope who specializes in Mozart's music claims to have created Mozart's 42nd symphony.,0
1982,Had we had more money we would have facilitated more conferences.,If we had had enough money we would have more conferences.,0
1983,"The loss of technical competence through downsizing was sufficiently pervasive that FFC, in conjunction with TBR and the NAVFAC, conducted the Government/Industry Forum on Capital Facilities and Core Competencies in March 1998.",The FFC conducted the Government/Industry Forum in March 1998 ,0
1984,The Data Warehousing Institute provides education and training in the data warehousing and business intelligence industry.,Business intelligence industry is a new and promising field of study.,1
1985,and uh we went through a time period that we had three Danes,"For three years, we had three Danes.",1
1986,you know even even into major things just to keep our car longer because i don't think we get the money that we put into them out of them in two years or three years and of course i was never in a position where i could trade my car off every two years,I have never been able to trade my car off every couple of years.,0
1987,"She was 96 just turning away when she heard a piercing whistle, and the faithful Albert came running from the building to join her.",She was an old lady who was out for a walk when she heard a noise. ,1
1988,Where are you going?,Where have you been?,2
1989,"Very little indeed, answered Tuppence, and was pleased to note that Whittington's uneasiness was augmented instead of allayed.",Tuppence made Whittington uncomfortable and was trying to avoid her.,1
1990,"So far, however, the number of mail pieces lost to alternative bill-paying methods is too small to have any material impact on First-Class volume.",The amount of mail lost is too smal  to leave an impact on volume ,0
1991,"McCalpinMaria Luisa Mercado Nancy H. Rogers Thomas F. Smegal, Jr.",Nancy Rogers is involved.,0
1992,"The village is tiny and a total contrast to the bustle of the Trenchtown ghetto in Kingston, where he lived as a recording superstar.",The village only had one famous person.,1
1993,"Mr. Clinton rewards Mr. Knight for his fund raising, Mr. Gore lays the groundwork for his anticipated presidential bid four years from now, and the companies, by hiring Mr. Knight, get the administration's ear.",Mr. Clinton hated Mr. Knight for his fund raising.,2
1994,"For big Raj-buffs, the supreme example of Indo-Gothic style is the Victoria Terminus, affectionately abbreviated to VT nowadays, once the railway station that launched adventures inland, now handling mostly suburban traffic.",The Victoria Terminus is still the main departure point for travelers heading deeper into the country.,2
1995,you know things like that But i don't follow any team i check the scores the next morning and i know how everybody's doing and that suffices me But,It is enough for me to just check the scores in the morning.,0
1996,Linda Tripp was indicted for illegally taping telephone conversations with Monica Lewinsky.,Monica Lewinsky was illegally taped by Linda Tripp.,0
1997,They should have him be just a disembodied voice.,They had him fart all his lines while prancing around nude.,2
1998,"His mother died when he was young, and he was adopted by the Brodkeys.",He was made to live in an orphanage when his mother died.,2
1999,"I found her leaning against the bannisters, deadly pale. ",She looked very vibrant as she stood next to the banister.,2
2000,"Every fresh circumstance seems to establish it more clearly.""",Every new thing seems to prove it to us that we are right.,1
2001,"The newspaper publishes just one letter a week from a reader, always with an editorial riposte at the bottom.","There are many letters submitted each week, but only one is chosen.",1
2002,It was going to be a hot day. ,It was a very cold day.,2
2003,Several of its beaches are officially designated for nudism (known locally as naturisme) the most popular being Pointe Tarare and a functionary who is a Chevalier de la L??gion d'Honneur has been appointed to supervise all aspects of sunning in the buff.,There are no people who sun in the bluff.,2
2004,"New York 's John Leonard calls Oz an ecology and anthropology of terror, not for the faint of heart or the queasy of stomach ...",John Leonard of New York has a great opinion for those interested in Oz.,1
2005,Pro-choicers point out that these close-up images literally cut the fetus's context--the woman--out of the picture.,Pro-choices say the close-up images are fair.,2
2006,"Don't expect to be swinging much after midnight, even in towns.",Don't expect things to be open after midnight.,0
2007,"Two clues in the Pennsylvania  1) The boy had said, I'm going to go to the dinner dance and kill some people.","""I'm attending the dinner dance and will eliminate some people,"" the boy said.",0
2008,"In addition, the senior executives at these organizations demonstrated their sustained commitment to financerelated improvement initiatives by using key business/line managers to drive improvement efforts, attending key meetings, ensuring that the necessary resources are made available, and creating a system of rewards and incentives to recognize those who support improvement initiatives.",This system of rewards and incentives will hopefully improve company performance.,1
2009,"They said that the current system reflects that diversity, with agencies developing new participation processes and information management systems as needed for their individual programs and communities.",They said that the old system reflects that diversity,2
2010,"In a magical space looking out over the sea, the beautifully sculpted columns of the cloister create a perfect framework of grace and delicacy for a moment's meditation.",Weddings are often held in the quiet sanctuary of the cloister.,1
2011,"If he were someone who was an assistant, with an ailing mother to support, well, it would be impossible.",He'd be able to do it even with a sick mom. ,2
2012,"Most of France went enthusiastically into World War I, and came out of it victorious yet bled white.",Most of France felt patriotic and supportive of WWI.,0
2013,"I'm sure he'll be back to work soon enough- it's only a leg wound, barely broken flesh.",My legs will never heal.,2
2014,now that's an interesting point yeah i mean once the expectations are,I did not find anything interesting at all.,2
2015,yes i i always turn on the TV set and it seems like i catch that program in the last five minutes and,I don't own a television set.,2
2016,"While documenting the basis for judgments can be more difficult than documenting nonjudgmental information, overall the chain of evidence or audit trail techniques should not pose any greater difficulty for GAO evaluators than our documentation procedures for other evaluation methods.",Documenting nonjudgmental information can pose more difficulties than documenting the basis for judgments.,0
2017,and see the thing is you know he go out and he'll spend it when he wants you know and uh uh i'm afraid to i'm afraid to use that credit card,I have so much debt to begin with.,1
2018,The thing started to grow brighter.,It started to illuminate more and more.,0
2019,guess it didn't last too long at the box office but i thought it was pretty good,"I guess it wasn't in the box office for a long period of time due to poor sales, but I still thought it was great.",1
2020,"All of our many earnest experiments produced results in line with random chance, they conclude.",The experiments proved that it was no different that random chance.,0
2021,well that's good that's great,"That is not bad, it is actually pretty good.",0
2022,"Earlier this week, the Pakistani paper Dawn ran an editorial about reports that Pakistani poppy growers are planning to recultivate opium on a bigger scale because they haven't received promised compensation for switching to other crops.",Pakistani poppy growers are going to grow more opium.,0
2023,"Four or five from the town rode past, routed by their diminished numbers and the fury of the Kal and Thorn.",Kal and Thorn were very relaxed.,2
2024,"This provides insight into the important Japanese concept of katachi (form), the rough equivalent of  It isn't what you do; it's the way that you do it.  ","Katachi means, it's not how you do something; it's what you do.",2
2025,"As a result, an estimated four out of five low-income people requiring legal help in our community do not receive it.",The people with low incomes do not know what s available to them as far as legal help is concerned.,1
2026,His off-the-cuff style seems amateurish next to Inglis' polished mini-essays.,His style made him look like an amateur beside Inglis' work,0
2027,He seemed too self-assured.,He is insecure.,2
2028,The Celts arrived in the wake of the Roman withdrawal at the end of the fourth century.,At the end of the fourth century was when baked goods flourished.,1
2029,"He leaned over Tommy, his face purple with excitement.","He leaned over Tommy, with thrill in his face.",0
2030,Dole : We ought to agree that somebody else should do it.,Someone else we appoint will do it.,1
2031,"Hamon said the proposed bill has attracted a number of co-sponsors, and Legal Aid backers are hoping to get it passed in the upcoming legislative session.",Legal Aid backers were against the proposed bill.,2
2032,His authoritarian rule has prevented the emergence of future leaders and the development of strong civic and political institutions.,The emergence of future leaders and the development of strong civic and political organizations was prevented because of hi authoritarian rule.,0
2033,yeah yeah seven percent or something it depends on where you're at some places in Dallas i guess it's like closer to eight and places like in Lewisville it's a lot closer to seven,In Lewisville it is up around ten or so.,2
2034,see too much crime on TV and they think it's way to go i don't know what do you think,They watch too much television.,1
2035,"Gordon, Robert J. Does the 'New Economy' Measure Up to the Great Inventions of the Past.",The New Economy is rapidly changing.,1
2036,kind of like for the same reasons as you i just the care that goes into them and you know if i you know decide to take off for a week or so,I don't care what goes into them. ,2
2037,We are concerned that the significant emissions reductions are required too quickly.,We are completely unconcerned about emissions.,2
2038,Excellent reviews for the collaboration between two of the '90s' most acclaimed jazz saxophonists.,Critics lauded their work.,0
2039,million in savings this year.,The money saved will be used to grow the company internationally over the next 5 years.,1
2040,She was alone at last with the president!,"At last, she has not been alone with the president!",2
2041,"What's truly striking, though, is that Jobs has never really let this idea go.",Jobs never held onto an idea for long.,2
2042,right well the warmth that developed between them and again it i think was a picture of relationships,Their relationship was cold and meaningless.,2
2043,the only thing that they had a great abundance of was uh you know human beings,They had a large amount of resources such as fruit and wheat.,2
2044,yeah because i was saying to him i said i'm not that heavy i'm not heavy you know maybe ten to fifteen pounds like any other human being,"i could lose ten or fifteen pounds, like most other people",0
2045,The inspired centuries-old design sense of the Italians has turned their country into a delightful emporium of style and elegance for the foreign visitor.,Italy has nothing of interest for foreign visitors.,2
2046,"3 Accordingly, auditors performing financial audits need to be proficient in applying the AICPA standards and guidance contained in the SASs.",Auditors do not need to be proficient in AICPA standards ,2
2047,Comparing our experience on the Acid Rain Program with the NOx SIP Call and the Section 126 petitions demonstrates the benefit of having certain key issues decided by Congress rather than left to Agency rulemakings.,It is beneficial to have certain key issues decided by congress rather than agency rulemakings.,0
2048,"China could never trump the warhead blizzard Washington would send in retaliation against any atomic attack, though the country would be loath to cede to U.S. missile defenses the deterrence afforded by its handfuls of warheads.",China had many more nuclear warhead than the US.,2
2049,We next present the test of our hypothesis by comparing the predicted percentages for each of the seven posts with the actual percentages.,We are presenting the test by comparing percentages for each of the posts with actual percentages.,0
2050,It must be a difficult situation for you all.,There are a lot of hindrances to overcome.,1
2051,"The Vice President and his representatives have asserted that GAO lacks the statutory authority to examine the activities of the NEPDG, recognizing only GAOas authority to audit its financial transactions.",The Vice President is also personally upset and has expressed much anger over this issue. ,1
2052,well the parts to to me i spent twenty two dollars on the parts,I spent 10 dollars on the parts.,2
2053,yeah yeah i think well i know it's true you see a lot of that you know rally behind the female she may lose but by golly we're going to make a statement here,It wouldn't count for anything if we rallied behind a female candidate.,2
2054,"For the upcoming world championships in microhockey, a super-vaccine was to be developed, which would be administered to all participants and audience members.",A super-vaccine was being developed to be given to everyone in attendance at the world championships.,0
2055,probably yeah i would imagine the judge could throw it out,I would guess that the judge would be able to toss that out.,0
2056,"You are sure that you did not in any way disclose your identity?"" Tommy shook his head.","I wish you hadn't revealed your identity, that was a mistake.",2
2057,"I guess history repeats itself, Jane.",I truly think the prior situation shows history repeats itself.,1
2058,"He unleashed a 16-day reign of terror that left 300 Madeirans dead, stocks of sugar destroyed, and the island plundered.",He unleashed a large debate over the 16-day reign that ended in a peaceful protest.,2
2059,This one ended up being surprisingly easy!,This is an easy one. ,0
2060,"He wanted silk and encouraged the Dutch and British as good, nonproselytizing Protestants just interested in trade.",He found that silk was perfect for the rich.,1
2061,you can get a hard copy of it and that's about it,Your only option is to get a hard copy.,0
2062,yeah well the jury that originally sentenced him sentenced him to death,The original verdict of the jury was the death penalty.,0
2063,"Thus, the imbalance in the volume of mail exchanged magnifies the effect of the relatively higher rates in these countries.",There is an imbalance in ingoing vs outgoing mail.,0
2064,yeah plus uh you know look at the you know the besides the pollution the the aspect of invasion of privacy there's a big pollution aspect too i find i throw out a lot of those flyers and i have no interest in,I don't think that flyers are a big deal.,2
2065,No one would ever think of sentiment in connection with you.,Everyone would expect sentiment when connecting with you.,2
2066,"A conventional siege was useless against such a seemingly impregnable rock, however, and with so much food and water the Zealots could not be starved into submission.","The siege was very effective, and the Zealots began to starve to death.",2
2067,The Kal whistled and Vrenna's eyes sparkled when she saw Jon swing it.,Jon is swinging something.,0
2068,"The fascinating exhibits include a section of the massive chain that the Byzantines used to stretch across the mouth of the Golden Horn to keep out enemy ships, as well as captured enemy cannon and military banners, the campaign tents from which the Ottoman sultans controlled their armies, and examples of uniforms, armour, and weapons from the earliest days of the Empire down to the 20th century.","The exhibits are dull and boring, everything is made from paper, and there is nothing about the Byzantines.",2
2069,"Instead, the task of defending Bradley fell to Erving, who shrugged that it's probably a debatable issue, but knowing Sen.",The task of assaulting Bradley fell to Erving.,2
2070,substitute my my yeah my kid'll do uh four or five hours this week for me no problem,My kid will be doing a few hours for me.,0
2071," The equipment you need for windsurfing can be hired from the beaches at Tel Aviv (marina), Netanya, Haifa (at Bat Galim beach), Tiberias, and Eilat.",There is nowhere in Eilat where you can hire windsurfing equipment. ,2
2072,The key question may be not what Hillary knew but when she knew it.,"According to current reports, the question is not if, but when did Hillary know about it.",0
2073,You're all right now.,The struggle and pain is over. ,1
2074,Such experience better enables the CIOs to work with business managers to build a shared vision for meeting mission needs.,The managers stormed out of the meeting because they did not share the same vision for the organization anymore.,2
2075,Her voice was doubtful.,She sounded doubtful about it.,0
2076,"When Jesus was born in about 4 b.c. , Joseph and Mary escaped Herod's paranoia by fleeing into Egypt with the new-born infant.",The flight to Egypt and the precise timeline have been debated by historians for centuries.,1
2077,"8 Follow-up to the May 8, 2001, Hearing Regarding the IRS Restructuring Act's Goals and IRS Funding ( GAO-01-903R, June 29, 2001), and IRS  Continued Improvement in Management Capability Needed to Support Long-Term Transformation",This 2001 IRS hearing on the Reconstruction Act was the second hearing that year.,1
2078,yes i've had a German Shepherd that did that one time,I had a German Shepherd that once did that.,0
2079,that's cool kind of like Pink Floyd or something uh yeah basketball's cool but football kind of after a while,"That's neat, sort of like Pink Floyd, or something similar.",0
2080,"At the delta of the Rh??ne, where its two arms spill into the Medi?­ter?­ra?­nean, the Camargue has been reclaimed from the sea to form a national nature reserve.",The Camargue has forever been lost to rising sea levels thanks to warming-induced climate change,2
2081,Station Jesus meets his mother.,Station Jesus may have been able to meet his mother.,1
2082,The cathedral in particular is impressive after dark.,The cathedral is equally as impressive during the light of day.,1
2083,"The Irish Architectural Archive, a library of architectural materials, is at number 73 on the south side of the square.",At number 15 the Irish Architectural Archive can be found.,2
2084,"First, the horsemen brought out a teaser horse.",The horsemen first brought out a preview horse.,0
2085,"Search out the House of Dionysos and the House of the Trident with their simple floor patterns, and the House of Dolphins and the House of Masks for more elaborate examples, including Dionysos riding a panther, on the floor of the House of Masks.",The floor patterns of the House of the Trident are very intricate.,2
